Name	CG	Subject	Grade
Jesse Smith	25/03	Math	A
Jesse Smith	25/03	Further Math	B
Jesse Smith	25/03	Physics	A
Jesse Smith	25/03	Geography	S
Jesse Smith	25/03	GP	A
Christopher Mcdonald	25/03	Math	S
Christopher Mcdonald	25/03	Further Math	E
Christopher Mcdonald	25/03	Chemistry	B
Christopher Mcdonald	25/03	Literature	C
Christopher Mcdonald	25/03	GP	B
Carrie Sparks	25/05	Math	D
Carrie Sparks	25/05	Chemistry	U
Carrie Sparks	25/05	Computing	U
Carrie Sparks	25/05	Economics	A
Carrie Sparks	25/05	GP	D
Patrick Smith	25/04	Math	B
Patrick Smith	25/04	Chemistry	B
Patrick Smith	25/04	Physics	E
Patrick Smith	25/04	History	A
Patrick Smith	25/04	GP	C
Katie Castro	25/01	Math	U
Katie Castro	25/01	Chemistry	B
Katie Castro	25/01	Further Math	D
Katie Castro	25/01	Literature	B
Katie Castro	25/01	GP	C
Michele Allen	25/05	Math	B
Michele Allen	25/05	Chemistry	C
Michele Allen	25/05	Computing	C
Michele Allen	25/05	Literature	B
Michele Allen	25/05	GP	E
Kaitlyn Price	25/03	Math	D
Kaitlyn Price	25/03	Further Math	B
Kaitlyn Price	25/03	Computing	A
Kaitlyn Price	25/03	Economics	A
Kaitlyn Price	25/03	GP	B
Charles Davis	25/02	Math	B
Charles Davis	25/02	Further Math	B
Charles Davis	25/02	Computing	E
Charles Davis	25/02	Literature	B
Charles Davis	25/02	GP	S
Wendy Reyes	25/03	Math	B
Wendy Reyes	25/03	Further Math	A
Wendy Reyes	25/03	Physics	E
Wendy Reyes	25/03	History	C
Wendy Reyes	25/03	GP	B
Carl Sheppard	25/03	Math	B
Carl Sheppard	25/03	Further Math	A
Carl Sheppard	25/03	Computing	E
Carl Sheppard	25/03	Literature	C
Carl Sheppard	25/03	GP	D
Joe Castillo	25/01	Math	D
Joe Castillo	25/01	Physics	E
Joe Castillo	25/01	Further Math	A
Joe Castillo	25/01	History	A
Joe Castillo	25/01	GP	B
Krista Garcia	25/05	Math	B
Krista Garcia	25/05	Chemistry	D
Krista Garcia	25/05	Computing	D
Krista Garcia	25/05	Literature	D
Krista Garcia	25/05	GP	B
Justin Becker	25/02	Math	D
Justin Becker	25/02	Further Math	B
Justin Becker	25/02	Physics	U
Justin Becker	25/02	Geography	B
Justin Becker	25/02	GP	E
April Osborne	25/05	Math	U
April Osborne	25/05	Further Math	E
April Osborne	25/05	Chemistry	S
April Osborne	25/05	Geography	U
April Osborne	25/05	GP	E
Thomas Stewart	25/03	Math	B
Thomas Stewart	25/03	Computing	E
Thomas Stewart	25/03	Further Math	C
Thomas Stewart	25/03	Literature	B
Thomas Stewart	25/03	GP	U
Alexandra Contreras	25/02	Math	C
Alexandra Contreras	25/02	Chemistry	S
Alexandra Contreras	25/02	Physics	B
Alexandra Contreras	25/02	History	B
Alexandra Contreras	25/02	GP	B
Courtney Butler	25/03	Math	B
Courtney Butler	25/03	Further Math	E
Courtney Butler	25/03	Computing	A
Courtney Butler	25/03	Literature	B
Courtney Butler	25/03	GP	C
Ashley Guzman	25/04	Math	D
Ashley Guzman	25/04	Computing	B
Ashley Guzman	25/04	Physics	E
Ashley Guzman	25/04	Economics	A
Ashley Guzman	25/04	GP	C
Sherri Patterson	25/04	Math	C
Sherri Patterson	25/04	Computing	B
Sherri Patterson	25/04	Chemistry	A
Sherri Patterson	25/04	Geography	E
Sherri Patterson	25/04	GP	B
Kenneth Carter	25/05	Math	A
Kenneth Carter	25/05	Further Math	S
Kenneth Carter	25/05	Chemistry	B
Kenneth Carter	25/05	History	B
Kenneth Carter	25/05	GP	D
Scott Roberts	25/05	Math	B
Scott Roberts	25/05	Further Math	A
Scott Roberts	25/05	Computing	B
Scott Roberts	25/05	History	A
Scott Roberts	25/05	GP	E
Christopher Ross	25/03	Math	E
Christopher Ross	25/03	Computing	D
Christopher Ross	25/03	Chemistry	B
Christopher Ross	25/03	Literature	A
Christopher Ross	25/03	GP	A
Tamara Hansen	25/02	Math	E
Tamara Hansen	25/02	Physics	A
Tamara Hansen	25/02	Computing	B
Tamara Hansen	25/02	Literature	S
Tamara Hansen	25/02	GP	A
Keith Edwards	25/05	Math	D
Keith Edwards	25/05	Further Math	A
